ID,loan_type,loan_purpose,business_or_commercial,rate_of_interest
24890,type1,p1,nob/c,2.46
24891,type2,p1,b/c,2.51
24892,type1,p1,nob/c,4.56
24893,type1,p4,nob/c,4.25
24894,type1,p1,nob/c,4
24895,type1,p1,nob/c,3.99
24896,type1,p3,nob/c,4.5
24897,type1,p4,nob/c,4.125
24898,type1,p3,nob/c,4.875
24899,type3,p3,nob/c,3.49
24900,type2,p3,b/c,0
24901,type1,p3,nob/c,4.375
24902,type2,p3,b/c,0
24903,type2,p4,b/c,3.625
24904,type1,p4,nob/c,4.5
24905,type1,p4,nob/c,0
24906,type2,p1,b/c,0
24907,type1,p3,nob/c,0
24908,type1,p1,nob/c,4.56
24909,type1,p4,nob/c,3.175
24910,type1,p3,nob/c,2.99
24911,type1,p3,nob/c,3.99
24912,type1,p3,nob/c,0
24913,type1,p3,nob/c,3.625
24914,type1,p3,nob/c,4.5
24915,type1,p3,nob/c,4.99
24916,type3,p1,nob/c,0
24917,type1,p4,nob/c,5.25
24918,type1,p1,nob/c,4.25
24919,type1,p1,nob/c,3.625
24920,type2,p1,b/c,4.25
24921,type3,p4,nob/c,2.99
24922,type1,p1,nob/c,4.125
24923,type1,p1,nob/c,3.75
24924,type1,p1,nob/c,4.25
24925,type1,p3,nob/c,4.99
24926,type1,p1,nob/c,4
24927,type1,p4,nob/c,3.375
24928,type1,p4,nob/c,0
24929,type1,p4,nob/c,0
24930,type1,p3,nob/c,4.99
24931,type2,p3,b/c,3.99
24932,type3,p4,nob/c,0
24933,type2,p4,b/c,0
24934,type1,p4,nob/c,0
24935,type1,p4,nob/c,3.625
24936,type2,p3,b/c,3.25
24937,type1,p3,nob/c,4.125
24938,type3,p4,nob/c,2.75
24939,type1,p1,nob/c,3.875
24940,type1,p3,nob/c,4.125
24941,type1,p4,nob/c,2.99
24942,type3,p3,nob/c,0
24943,type1,p3,nob/c,0
24944,type1,p1,nob/c,3.625
24945,type2,p4,b/c,0
24946,type1,p2,nob/c,0
24947,type1,p3,nob/c,3.5
24948,type1,p3,nob/c,3.99
24949,type1,p3,nob/c,3.375
24950,type1,p4,nob/c,4.5
24951,type2,p1,b/c,3.25
24952,type1,p4,nob/c,4.125
24953,type2,p4,b/c,4.75
24954,type1,p3,nob/c,3.875
24955,type1,p4,nob/c,3.875
24956,type3,p3,nob/c,0
24957,type2,p4,b/c,0
24958,type2,p3,b/c,3.625
24959,type1,p3,nob/c,4.5
24960,type1,p3,nob/c,3.99
