Loan_ID,Date_ID,Recipient_ID,LoanOfficer_ID,loan_amount,Upfront_charges,property_value
24890,1000001,1000001,150,116500,0,118000
24891,1000002,1000002,111,206500,0,134234
24892,1000003,1000003,385,406500,595,508000
24893,1000004,1000004,777,456500,0,658000
24894,1000005,1000005,360,696500,0,758000
24895,1000006,1000006,629,706500,370,1008000
24896,1000007,1000007,81,346500,5120,438000
24897,1000008,1000008,20,266500,5609.88,308000
24898,1000009,1000009,786,376500,1150,478000
24899,1000010,1000010,448,436500,2316.5,688000
24900,1000011,1000011,825,136500,0,168000
24901,1000012,1000012,343,466500,1150,708000
24902,1000013,1000013,169,206500,0,258000
24903,1000014,1000014,860,436500,0,508000
24904,1000015,1000015,217,226500,3953.13,298000
24905,1000016,1000016,551,76500,0,138000
24906,1000017,1000017,201,356500,0,368000
24907,1000018,1000018,383,156500,0,168000
24908,1000019,1000019,222,406500,895,598000
24909,1000020,1000020,845,586500,650,748000
24910,1000021,1000021,400,306500,10470,558000
24911,1000022,1000022,2,136500,4156.25,198000
24912,1000023,1000023,641,306500,0,448000
24913,1000024,1000024,634,316500,6661.88,508000
24914,1000025,1000025,632,336500,0,428000
24915,1000026,1000026,423,426500,169.5,568000
24916,1000027,1000027,658,476500,0,
24917,1000028,1000028,283,196500,5245.09,258000
24918,1000029,1000029,1,186500,5376.25,218000
24919,1000030,1000030,404,436500,6260,468000
24920,1000031,1000031,535,246500,0,258000
24921,1000032,1000032,705,216500,2101.63,228000
24922,1000033,1000033,380,306500,3752.4,318000
24923,1000034,1000034,889,316500,5560.63,338000
24924,1000035,1000035,499,506500,0,538000
24925,1000036,1000036,253,266500,2337.4,408000
24926,1000037,1000037,119,406500,4070,1018000
24927,1000038,1000038,534,656500,13016.46,1108000
24928,1000039,1000039,837,256500,0,418000
24929,1000040,1000040,327,396500,0,418000
24930,1000041,1000041,732,396500,5072.5,528000
24931,1000042,1000042,336,166500,1657.5,198000
24932,1000043,1000043,872,466500,0,
24933,1000044,1000044,881,236500,0,248000
24934,1000045,1000045,428,866500,0,1508000
24935,1000046,1000046,442,416500,2462.96,528000
24936,1000047,1000047,104,436500,12283.66,508000
24937,1000048,1000048,148,356500,786.33,608000
24938,1000049,1000049,856,386500,3808.56,428000
24939,1000050,1000050,467,596500,3375.48,668000
24940,1000051,1000051,565,196500,3188.01,338000
24941,1000052,1000052,266,206500,5882.75,708000
24942,1000053,1000053,114,136500,0,
24943,1000054,1000054,523,166500,0,
24944,1000055,1000055,850,606500,14690.09,808000
24945,1000056,1000056,665,86500,0,948000
24946,1000057,1000057,684,116500,0,128000
24947,1000058,1000058,848,426500,3854,598000
24948,1000059,1000059,476,166500,4044.53,238000
24949,1000060,1000060,125,426500,0,608000
24950,1000061,1000061,20,376500,0,718000
24951,1000062,1000062,561,286500,0,298000
24952,1000063,1000063,544,706500,0,888000
24953,1000064,1000064,462,146500,0,148000
24954,1000065,1000065,496,446500,295,628000
24955,1000066,1000066,499,286500,1250,608000
24956,1000067,1000067,258,166500,0,
24957,1000068,1000068,316,636500,0,658000
